Id,Street_name,Street_number,District,Sq_mt_built,Sq_mt_useful,N_rooms,N_bathrooms,N_floors,Price,Has_parking_included,Built_year
17592,Calle de Juan de Urbieta,,4105.12 €/m2) - District 14: Retiro,88,82,3,2,,379000,NO,1/1/1950
17589,Urb. Jeronimos Prime,,6739.32 €/m2) - District 14: Retiro,346,,4,3,,4000000,NO,1/1/1910
17588,Calle de Alfonso XII,,6739.32 €/m2) - District 14: Retiro,157,140,2,3,,1500000,YES,1/1/2019
17587,Urb. Jeronimos Prime,,6739.32 €/m2) - District 14: Retiro,345,,4,3,,6000000,NO,1/1/1907
17585,Calle del Doctor Esquerdo,,4105.12 €/m2) - District 14: Retiro,135,125,4,2,,435000,NO,1/1/1960
17584,Paseo de la Reina Cristina. Madrid,,6739.32 €/m2) - District 14: Retiro,152,,4,2,,650000,YES,1/1/1977
17576,Calle del Alcalde Sáinz de Baranda,76,4246.58 €/m2) - District 14: Retiro,84,,3,1,,350000,NO,1/1/1951
17563,Avenida de la Ciudad de Barcelona,17,4105.12 €/m2) - District 14: Retiro,70,,3,1,,330000,NO,1/1/1900
17552,Plaza del Doctor Laguna,5,4935.6 €/m2) - District 14: Retiro,130,110,4,2,,750000,YES,1/1/1975
17545,Calle Juan Esplandiú,,4246.58 €/m2) - District 14: Retiro,180,135,4,3,,690000,YES,1/1/1985
17535,Calle de la Cruz del Sur,,4246.58 €/m2) - District 14: Retiro,80,75,3,1,,340000,NO,1/1/1960
17531,Calle del Alcalde Sáinz de Baranda,,5492.17 €/m2) - District 14: Retiro,87,81,2,1,,580000,NO,1/1/1935
17524,Calle de Sánchez Barcáiztegui,,4105.12 €/m2) - District 14: Retiro,45,,1,1,,335000,NO,1/1/1930
17523,Calle de Federico Moreno Torroba,,4020.62 €/m2) - District 14: Retiro,215,205,3,3,,835000,YES,1/1/1988
17522,Paseo REINA CRISTINA,,6739.32 €/m2) - District 14: Retiro,155,,4,2,,515000,YES,1/1/1977
